cell,PC1,PC2,tsne1,tsne2,knn_all,knn_pca,knn_svd,lnIC50_mean
NKM-1,-12.377254287425345,0.12885304615562698,9.324469,-28.5819,3,2,2,0.6465671274509804
NOMO-1,-13.24062943890279,6.043650434737966,4.309881,-23.263975,3,2,2,1.6117702333333328
NOS-1,-1.9275079575116272,-0.45520375817659575,10.038796,6.2124906,1,1,1,2.148334374301676
NTERA-2-cl-D1,-5.642691662080848,-2.4565962769808936,16.668745,-4.3367023,3,2,2,1.3875525742574255
NUGC-3,-2.0751650127820502,1.5301925500667253,0.4829761,-6.177176,1,1,1,2.4788469055555558
NUGC-4,23.56959360336167,6.475889787327804,-15.251172,36.269043,0,0,0,4.2041338882681565
NY,-4.5941217502316025,-2.652780584721194,9.567016,-8.50813,3,2,2,2.2878390666666673
OACM5-1,-0.8872162581086138,-2.9038085451894387,5.424964,-2.32852,1,1,1,2.6023503910614525
OACp4C,-3.736386217566788,4.257810380778567,-2.574379,-8.6136875,3,2,2,2.2239197388888887
OAW-28,13.588081441570063,-5.605120578184176,-18.17666,25.906338,4,3,3,3.485712368715084
OAW-42,10.150350333333684,-5.517582540224885,-17.741522,20.67054,4,3,3,3.3270837486033527
OC-314,-5.434535973618709,0.21556174933629094,1.6176085,-12.52241,3,2,2,1.507381
OCI-AML2,-24.40253955763864,9.84314336579278,19.82626,-30.9221,2,4,4,0.7068462611111108
OCI-AML3,-19.575976900725507,9.282930686152168,19.11882,-30.216755,2,4,4,1.090474027777778
OCI-AML5,-9.696222447288593,3.03560553191046,5.8685226,-21.382458,3,2,2,1.6912513095238098
OCI-M1,-20.584700940014056,1.9548785078966557,19.9242,-26.466251,2,4,4,1.049578848314607
OCUB-M,-8.548833777515267,-5.042994525027701,11.990632,9.499508,3,2,2,1.6658115336787567
OCUM-1,6.8741195059584825,14.190040309597649,-16.957169,-12.067958,4,3,3,2.9363354944444446
OE19,2.8065068471492864,-1.4221150074148132,4.665299,2.7383826,1,1,1,2.683178511111111
OE21,1.492222818140555,1.941489156984162,4.960193,1.6661165,1,1,1,2.5427431564245815
OE33,-3.568389992249587,3.572297636536582,-4.689584,-7.2010336,3,2,2,2.239352744444444
ONS-76,1.2909182593030066,7.051917330118819,-11.962593,-8.435209,1,1,1,2.6071054000000005
OPM-2,-17.244588356188743,0.41362832127933324,22.522114,-16.873083,2,4,4,1.2618149944134085
OS-RC-2,18.339308918690605,-2.629904950888291,-12.390571,32.364094,0,3,3,3.7737913631284923
OSC-20,12.745950020905468,-2.6679652540120236,-14.705964,18.909065,4,3,3,3.5137797333333336
OV-56,20.380786528358406,-7.72878642193273,-19.127146,27.180008,0,0,0,4.0544190223463685
OV-90,15.79550238736982,3.784237949706248,-10.616558,23.423733,4,3,3,3.5343446388888893
OVCA420,12.183902310635023,4.86057826586852,-22.3197,10.563301,4,3,3,3.292161486111111
OVCAR-3,7.513349442897034,-4.9550722285223205,1.0569245,11.585349,1,1,1,3.003685994413408
OVCAR-4,19.86213241505377,-3.344290703099363,-17.284885,28.331182,0,0,0,3.842014765363129
OVCAR-5,11.819489562284627,9.476285721929973,-8.487185,16.61773,4,3,3,3.3363465277777777
OVCAR-8,-7.943342711354209,-1.8857258278332132,11.327187,-14.514488,3,2,2,2.0502666871508386
OVISE,10.302053948573786,-2.670038196999717,-1.5884807,14.923978,4,3,3,3.1345878994413408
OVK-18,0.014500854339680118,-3.096601799185235,0.52670705,3.4882762,1,1,1,3.005182885416667
OVKATE,21.13603551381558,-1.9827550985845437,-25.89089,16.390133,0,0,0,4.770536931372549
OVMIU,10.25143100078651,5.0946040849907686,-6.1294465,15.226831,4,3,3,3.097550266666667
OVTOKO,7.22156581507125,0.5068820620096539,-8.777933,6.3201365,4,3,1,3.0429379944444443
P12-ICHIKAWA,-23.355488583484437,-2.6450735834093124,22.844023,-25.100323,2,4,4,0.9337886648044695
P30-OHK,-18.474166744680204,-4.564388845279888,23.753239,-22.905647,2,4,4,1.2767440786516853
P31-FUJ,-5.981965407534898,0.5927288249973399,-1.4530032,-6.962367,3,2,2,1.4296102450980392
P32-ISH,-26.228722166182166,-2.3738631346995622,24.845123,-28.195026,2,4,4,0.6824849329608937
PA-1,-17.541386176176182,0.5347897963043641,22.143888,-16.945162,2,4,4,1.2626631741573033
PA-TU-8902,16.20701437083258,0.881502769288796,-14.685096,24.133854,4,3,3,3.688800572222222
PA-TU-8988T,5.277720936649057,2.0720392762327178,-5.3793597,4.596889,1,1,1,2.8844905083798884
PANC-02-03,6.947527443547592,9.572973480993317,-7.2595925,16.322523,4,3,3,2.9687975911602202
PANC-03-27,5.6189558010216185,1.9276636386171253,-8.427279,10.021876,1,1,1,2.8755703627450977
PANC-04-03,18.512089619175622,4.4429974928925855,-26.103458,16.151157,0,3,0,4.485423421568628
PANC-08-13,22.691455079890854,0.2861046600153476,-15.38941,33.251297,0,0,0,4.063033044692737
PANC-10-05,14.733881665937947,3.7306839661169637,-13.44212,20.611166,4,3,3,3.5630970833333335
PC-14,3.5795425004543633,4.618941348563496,2.7402697,-2.9750648,1,1,1,2.769446243093922
PC-3,17.81567988187402,-6.754816566444757,-17.683647,24.626331,0,3,0,3.858720798882682
PC-3_[JPC-3],5.1968976509488956,-0.0670989954506005,3.1783185,-2.1665726,1,1,1,2.703912284313725
PCI-30,5.089061647435036,-1.0474373570636906,-8.166235,8.416827,1,1,1,2.7995014215686274
PCI-4B,-3.4100706749196457,1.8151321483260987,3.0886443,-8.230909,3,2,2,2.3839407812499998
PEO1,14.027029075860227,0.910386787722497,-13.453151,19.444824,4,3,3,3.6044411215469614
PF-382,-13.49929613948009,-1.462412930592476,12.038695,-19.542984,3,4,2,1.6143885988700564
PFSK-1,-6.956881213088477,-4.94621597429242,21.527061,-11.945159,3,2,2,2.0231479553072624
PL18,8.083736347509262,5.269692086137856,-11.127766,17.470001,4,3,3,3.0620954888888887
PL4,2.6417179325666256,2.2148730879726455,-10.455344,10.243413,1,1,1,2.708014466666666
PSN1,0.5362193124005266,7.684341927035277,-14.286666,-8.493877,1,1,1,2.527852977777778
PWR-1E,-4.9470011269015695,-0.44798242572442987,8.932453,-9.553302,3,2,2,2.2398470055865927
QGP-1,8.670478960596443,0.3102530466205171,-16.361116,9.322385,4,3,3,4.291599589473685
RC-K8,-5.170075331364647,-4.72523666844571,13.784932,-13.685528,3,2,2,2.289914622222222
RCC-JW,1.4785458981982877,-3.1671113788090146,-9.546842,1.7335263,1,1,1,2.605651073033708
RCC10RGB,19.975761908653638,2.128943440781682,-20.812548,28.659409,0,0,0,3.9678272625698323
RCM-1,14.689386276424369,8.73990456597622,-8.585648,24.75854,4,3,3,3.3573545567567566
RD,3.618966459583648,2.812144991790856,-6.9767356,2.9111693,1,1,1,2.8328417666666668
REH,-15.866429883750987,-6.445736626615794,23.70754,-22.51219,2,4,4,1.4671272555555557
RERF-GC-1B,1.8347719888016205,2.9969212597731563,-13.290816,4.5589647,1,1,1,2.536195893854749
RERF-LC-KJ,5.4983875704448515,-0.9527566416117978,-12.471332,0.961926,1,1,1,2.8071740277777777
RERF-LC-Sq1,3.5487496358937647,4.2465308135207875,4.8270826,1.218261,1,1,1,2.7301299385474858
RF-48,-7.351439562678328,-4.109516881649521,10.720184,-11.629922,3,2,2,2.0265506069364165
RH-1,-17.02428870225504,-4.586293710873722,17.15997,-23.515858,2,4,4,1.4160301620111726
RH-41,-12.673185549813216,-2.574670675396215,23.105392,-14.106483,3,2,2,1.5517471011235953
RKN,18.092436757524105,1.2152499267401617,-14.071121,26.14313,4,3,3,3.8257944444444445
